Arrival_Date,State,District,Market,Commodity,Variety,Min_Price,Max_Price,Modal_Price
10/29/2020,Rajasthan,Coimbatore,Mysuru Yard,Cotton,Grade A,2685,3101,2860
6/10/2018,Bihar,Pune,Patna Bazaar,Wheat,Premium,2240,2703,2259
21/04/2023,Bihar,Jaipur,Lucknow Mandi,Soyabean,Grade A,1861,2454,2408
26-11-2020,Bihar,Ludhiana,Coimbatore Mandi,Maize,Grade A,1731,2135,1926
14-07-2018,Bihar,Mysuru,Jaipur Mandi,Potato,grade a,1750,2254,2172
30/06/2022,Maharashtra,Coimbatore,Mysuru Yard,Rice,grade a,1269,1550,1364
10/10/2018,West Bengal,Ludhiana,Ludhiana Market,Tomato,Standard,1627,2012,1977
29-04-2023,Punjab,Ludhiana,APMC Pune,Onion,Standard,2271,2747,
29-08-2024,Uttar Pradesh,Mysuru,Ludhiana Market,Onion,Grade A,1338,1613,1433
8/1/2024,Punjab,Pune,Jaipur Mandi,Onion,Local,1436,1926,
6/2/2022,Rajasthan,Mysuru,Kolkata Market,Cotton,Local,2052,2231,2180
16-09-2023,West Bengal,Mysuru,Patna Bazaar,Tomato,FAQ,1274,1919,1347
7/11/2023,West Bengal,Lucknow,Mysuru Yard,Soyabean,Premium,1503,2218,1882
1/5/2018,Rajasthan,Coimbatore,Coimbatore Mandi,Potato,Grade A,2198,2992,
7/5/2019,Karnataka,Lucknow,Ludhiana Market,Wheat,,2851,3342,2902
8/5/2019,Punjab,Pune,Jaipur Mandi,Soyabean,Standard,1718,2109,1725
19-02-2023,Punjab,Jaipur,Ludhiana Market,Cotton,Local,1409,1871,1735
4/9/2019,Rajasthan,Patna,Patna Bazaar,Rice,Local,904,1365,
9/1/2018,Tamil Nadu,Patna,Patna Bazaar,Wheat,Hybrid,2027,2505,
7/8/2019,Rajasthan,Pune,Jaipur Mandi,Rice,Local,1299,2045,2045
21-12-2023,Rajasthan,Pune,Ludhiana Market,Potato,Premium,1999,2400,
2/5/2023,Karnataka,Coimbatore,Coimbatore Mandi,Wheat,Standard,2513,2654,
16-06-2019,West Bengal,Lucknow,Ludhiana Market,Soyabean,FAQ,1040,1795,1746
4/24/2020,Karnataka,Lucknow,Mysuru Yard,Tomato,Local,1632,2072,1908
1/3/2022,Maharashtra,Coimbatore,APMC Pune,Onion,Premium,1994,2706,
6/3/2020,West Bengal,Jaipur,Jaipur Mandi,Potato,grade a,1106,1301,1161
6/25/2024,Bihar,Patna,Lucknow Mandi,Maize,Grade A,1221,1596,1349
9/4/2024,Bihar,Kolkata,APMC Pune,Wheat,Grade A,2049,2532,
21-03-2024,Bihar,Mysuru,Patna Bazaar,Maize,Grade A,2983,3446,
2/7/2024,Rajasthan,Mysuru,Patna Bazaar,Tomato,FAQ,1945,2145,
21/09/2018,Punjab,Kolkata,Mysuru Yard,Potato,Hybrid,1203,1842,1775
5/3/2018,Uttar Pradesh,Mysuru,Ludhiana Market,Rice,Local,1438,1646,1451
24/09/2018,Punjab,Coimbatore,Lucknow Mandi,Tomato,Standard,1430,1639,1625
28-10-2020,Uttar Pradesh,Kolkata,Jaipur Mandi,Rice,Local,2226,2386,2267
6/4/2023,Tamil Nadu,Kolkata,APMC Pune,Maize,Hybrid,1885,2282,2018
4/8/2018,Karnataka,Jaipur,Lucknow Mandi,Maize,Local,1527,1856,
5/11/2020,Karnataka,Patna,Coimbatore Mandi,Soyabean,Premium,2287,2626,2589
4/4/2022,Rajasthan,Mysuru,APMC Pune,Wheat,Grade A,1465,1690,
17-05-2021,Maharashtra,Kolkata,Lucknow Mandi,Wheat,Grade A,2032,2383,2053
7/14/2023,Bihar,Ludhiana,APMC Pune,Tomato,Premium,953,1159,1018
14-03-2023,Rajasthan,Kolkata,Lucknow Mandi,Onion,Premium,2877,3509,2923
3/12/2022,Bihar,Jaipur,Mysuru Yard,Soyabean,Premium,2042,2765,2093
3/10/2024,Tamil Nadu,Ludhiana,Patna Bazaar,Cotton,Local,1351,1828,1680
28-10-2020,Karnataka,Mysuru,Coimbatore Mandi,Soyabean,Hybrid,1107,1317,1284
10/14/2018,West Bengal,Patna,APMC Pune,Tomato,Local,1449,2140,
6/8/2021,Maharashtra,Pune,Lucknow Mandi,Wheat,Local,1688,2015,1922
6/17/2021,Rajasthan,Jaipur,Kolkata Market,Wheat,,1511,2100,1800
7/23/2022,Maharashtra,Patna,Jaipur Mandi,Cotton,Premium,2249,2441,
12/10/2023,Maharashtra,Lucknow,Coimbatore Mandi,Cotton,Premium,1241,1855,
20/08/2019,Tamil Nadu,Mysuru,Coimbatore Mandi,Maize,Local,2983,3359,3253
5/4/2021,Karnataka,Mysuru,Patna Bazaar,Maize,Local,1832,2604,2098
20-11-2023,Bihar,Ludhiana,APMC Pune,Wheat,Local,1856,2336,2030
21-10-2019,Tamil Nadu,Pune,Coimbatore Mandi,Potato,FAQ,1716,2002,2000
17/05/2023,Tamil Nadu,Pune,Jaipur Mandi,Cotton,Standard,901,1196,1156
7/14/2024,Bihar,Mysuru,Mysuru Yard,Tomato,,1541,2175,1620
20-01-2024,Maharashtra,Patna,Coimbatore Mandi,Cotton,grade a,1072,1628,
28-07-2019,West Bengal,Coimbatore,Jaipur Mandi,Maize,grade a,2688,3081,
22/12/2020,Tamil Nadu,Ludhiana,Jaipur Mandi,Cotton,Local,1121,1469,1277
11/2/2021,West Bengal,Ludhiana,Coimbatore Mandi,Onion,Premium,1946,2369,
6/3/2023,Punjab,Ludhiana,Coimbatore Mandi,Wheat,Premium,2297,2665,
9/3/2018,Maharashtra,Pune,Lucknow Mandi,Tomato,grade a,2275,2728,2616
10/5/2021,Punjab,Pune,Mysuru Yard,Cotton,grade a,1079,1755,
1/6/2021,Bihar,Kolkata,Coimbatore Mandi,Cotton,Standard,2407,2765,2430
14-08-2022,Rajasthan,Mysuru,Lucknow Mandi,Onion,,2842,3293,3262
17/02/2023,Maharashtra,Ludhiana,Jaipur Mandi,Cotton,Premium,2890,3232,2963
11/18/2018,Punjab,Mysuru,APMC Pune,Tomato,Grade A,1228,1893,
26/09/2022,Bihar,Mysuru,Jaipur Mandi,Onion,,978,1579,1374
25-04-2020,West Bengal,Coimbatore,Coimbatore Mandi,Cotton,Local,1517,1727,1538
21-07-2021,Tamil Nadu,Ludhiana,Patna Bazaar,Onion,Standard,1239,1864,
11/19/2022,Bihar,Ludhiana,Kolkata Market,Tomato,FAQ,1219,1694,1570
14-03-2024,Karnataka,Pune,Mysuru Yard,Soyabean,Premium,1914,2445,2027
23/03/2021,Bihar,Pune,Coimbatore Mandi,Wheat,,1988,2324,2170
3/14/2021,Rajasthan,Patna,Kolkata Market,Onion,Local,1970,2703,2697
9/8/2024,West Bengal,Jaipur,Kolkata Market,Wheat,Premium,975,1086,1059
30/11/2021,Tamil Nadu,Mysuru,Kolkata Market,Cotton,Premium,1220,1534,1393
2/4/2023,Karnataka,Pune,Kolkata Market,Soyabean,Local,2588,2903,
4/16/2023,Tamil Nadu,Mysuru,Lucknow Mandi,Onion,FAQ,2182,2620,2517
3/7/2024,Punjab,Patna,Kolkata Market,Rice,Hybrid,2773,2902,2872
6/11/2021,Uttar Pradesh,Kolkata,Ludhiana Market,Tomato,Hybrid,988,1244,1233
25-01-2023,Karnataka,Mysuru,Jaipur Mandi,Rice,Hybrid,1025,1568,1336
11/9/2022,Karnataka,Coimbatore,Jaipur Mandi,Soyabean,Hybrid,933,1338,1143
2/1/2022,Uttar Pradesh,Pune,Ludhiana Market,Wheat,Standard,2015,2142,2048
29/10/2024,Maharashtra,Mysuru,APMC Pune,Onion,Premium,2895,3642,
27/11/2019,Karnataka,Jaipur,Jaipur Mandi,Wheat,Hybrid,1196,1446,1387
12/17/2022,West Bengal,Pune,Jaipur Mandi,Wheat,,1913,2572,
4/6/2020,Uttar Pradesh,Kolkata,Patna Bazaar,Wheat,Hybrid,1389,1886,1627
7/10/2018,Uttar Pradesh,Kolkata,Mysuru Yard,Soyabean,Grade A,823,1166,1131
11/2/2018,Bihar,Patna,Patna Bazaar,Maize,Hybrid,1019,1653,
9/9/2023,Rajasthan,Coimbatore,Mysuru Yard,Cotton,Local,2776,2950,2864
3/11/2024,Maharashtra,Mysuru,Jaipur Mandi,Soyabean,Premium,2919,3564,3105
4/10/2024,Rajasthan,Jaipur,Mysuru Yard,Soyabean,Hybrid,1077,1328,1300
26/09/2021,Rajasthan,Kolkata,Lucknow Mandi,Potato,grade a,2742,3116,2892
26-03-2022,Punjab,Coimbatore,APMC Pune,Maize,Hybrid,2882,3211,
12/6/2018,Punjab,Lucknow,Lucknow Mandi,Cotton,Local,1681,2043,2024
11/8/2018,Bihar,Pune,Mysuru Yard,Soyabean,grade a,1938,2273,2228
30-04-2018,West Bengal,Kolkata,Coimbatore Mandi,Tomato,FAQ,2217,2548,2544
7/11/2023,Rajasthan,Mysuru,Kolkata Market,Tomato,grade a,1730,1843,1821
23-09-2019,Bihar,Patna,APMC Pune,Potato,Standard,1344,1601,1564
6/27/2019,Maharashtra,Coimbatore,Patna Bazaar,Soyabean,FAQ,2184,2599,2419
3/6/2018,Karnataka,Kolkata,Patna Bazaar,Tomato,Hybrid,2730,2847,2844
1/2/2021,Punjab,Patna,Coimbatore Mandi,Maize,Grade A,2587,3093,2768
10/29/2021,Rajasthan,Ludhiana,Coimbatore Mandi,Onion,FAQ,1489,1778,1580
25-03-2023,Rajasthan,Lucknow,Kolkata Market,Tomato,Hybrid,2498,3223,
28/08/2019,Punjab,Lucknow,Lucknow Mandi,Onion,grade a,1644,2374,
5/4/2022,Punjab,Jaipur,Coimbatore Mandi,Soyabean,Standard,1704,2355,2130
5/5/2021,West Bengal,Ludhiana,Jaipur Mandi,Maize,grade a,1558,1915,1859
7/31/2020,Uttar Pradesh,Jaipur,Jaipur Mandi,Onion,Grade A,1286,1390,1390
6/3/2021,Maharashtra,Ludhiana,Ludhiana Market,Wheat,,1951,2640,2139
29-09-2022,West Bengal,Lucknow,Coimbatore Mandi,Cotton,Local,1445,1585,
27-03-2019,Karnataka,Jaipur,Mysuru Yard,Potato,FAQ,2618,2964,2892
19-03-2024,Karnataka,Pune,Jaipur Mandi,Potato,,2423,2532,2511
9/6/2021,Rajasthan,Jaipur,Patna Bazaar,Potato,Hybrid,852,985,917
2/3/2019,Tamil Nadu,Pune,APMC Pune,Cotton,Grade A,2842,3427,2985
16/08/2022,Uttar Pradesh,Kolkata,Ludhiana Market,Onion,FAQ,1606,1790,
12/11/2021,Maharashtra,Ludhiana,Patna Bazaar,Onion,Standard,1370,2092,1995
23-06-2022,Tamil Nadu,Kolkata,Lucknow Mandi,Tomato,,1578,1834,1679
19/05/2023,Uttar Pradesh,Patna,Patna Bazaar,Rice,Hybrid,2922,3104,2933
6/15/2023,Punjab,Ludhiana,Mysuru Yard,Rice,Grade A,1362,1818,1674
9/15/2020,Uttar Pradesh,Patna,Patna Bazaar,Rice,Standard,910,1403,929
4/2/2024,Uttar Pradesh,Coimbatore,Jaipur Mandi,Tomato,Premium,2245,2509,
19-11-2019,West Bengal,Pune,Patna Bazaar,Potato,grade a,2842,2995,
27-09-2018,Maharashtra,Kolkata,Ludhiana Market,Wheat,,1779,1922,
24/11/2021,West Bengal,Mysuru,Kolkata Market,Onion,,1721,2127,
20-05-2020,Tamil Nadu,Pune,Kolkata Market,Wheat,grade a,2487,3134,2494
12/6/2020,Bihar,Jaipur,Jaipur Mandi,Rice,Standard,2748,3035,3008
15/09/2019,West Bengal,Lucknow,Patna Bazaar,Wheat,grade a,2532,2749,
4/4/2019,Punjab,Ludhiana,Mysuru Yard,Rice,FAQ,2805,3489,
13/11/2021,Punjab,Ludhiana,Lucknow Mandi,Soyabean,Local,1404,2146,1676
18/09/2024,West Bengal,Lucknow,Lucknow Mandi,Soyabean,Hybrid,2455,2914,2771
19/11/2019,Rajasthan,Jaipur,Mysuru Yard,Cotton,Hybrid,883,1365,
10/31/2024,Punjab,Jaipur,Lucknow Mandi,Wheat,,2797,2991,2969
10/25/2024,Karnataka,Pune,Kolkata Market,Potato,Local,2144,2770,2496
27-04-2021,Karnataka,Mysuru,Kolkata Market,Tomato,Standard,1182,1737,1410
5/6/2022,Karnataka,Jaipur,Kolkata Market,Soyabean,grade a,885,1535,1218
28/02/2020,Uttar Pradesh,Kolkata,Coimbatore Mandi,Tomato,grade a,1693,2255,2071
10/1/2020,Maharashtra,Mysuru,Patna Bazaar,Wheat,Grade A,1074,1816,1290
18-02-2019,Uttar Pradesh,Mysuru,Lucknow Mandi,Wheat,grade a,1409,1995,1691
12/28/2019,Tamil Nadu,Patna,Patna Bazaar,Onion,Grade A,1599,2134,
6/10/2020,Uttar Pradesh,Mysuru,Lucknow Mandi,Onion,Premium,1026,1412,1344
9/3/2022,Tamil Nadu,Pune,Jaipur Mandi,Wheat,grade a,2399,3078,2900
20-06-2019,Maharashtra,Ludhiana,Coimbatore Mandi,Soyabean,Standard,2275,2712,
16-11-2023,Rajasthan,Mysuru,APMC Pune,Soyabean,FAQ,2766,3548,
1/8/2019,Uttar Pradesh,Kolkata,Lucknow Mandi,Cotton,Grade A,2072,2594,2562
20-09-2021,Maharashtra,Lucknow,Jaipur Mandi,Soyabean,,2856,3197,3043
5/30/2021,Karnataka,Coimbatore,Lucknow Mandi,Rice,Standard,1946,2132,2033
23/02/2022,Uttar Pradesh,Kolkata,Jaipur Mandi,Soyabean,,2256,2441,
23/11/2019,West Bengal,Mysuru,Patna Bazaar,Rice,FAQ,2907,3167,2959
8/9/2023,Karnataka,Ludhiana,Mysuru Yard,Onion,Premium,1580,2151,2098
27-06-2022,Tamil Nadu,Pune,Coimbatore Mandi,Onion,Standard,1131,1905,
7/13/2024,Bihar,Kolkata,Kolkata Market,Tomato,Premium,2017,2405,2119
6/14/2020,Tamil Nadu,Ludhiana,Ludhiana Market,Rice,Hybrid,1375,1693,
18-02-2022,Maharashtra,Mysuru,Jaipur Mandi,Tomato,grade a,1148,1941,1588
8/26/2018,Uttar Pradesh,Lucknow,Jaipur Mandi,Cotton,Local,1968,2767,2004
2/26/2019,Uttar Pradesh,Patna,Coimbatore Mandi,Soyabean,FAQ,1795,2221,2141
4/20/2019,Uttar Pradesh,Coimbatore,Kolkata Market,Onion,FAQ,1414,2035,1450
30-08-2022,Punjab,Lucknow,Jaipur Mandi,Onion,Local,2384,2485,2435
5/30/2020,Maharashtra,Pune,Mysuru Yard,Maize,Local,1374,2151,1906
10/29/2024,Tamil Nadu,Pune,Kolkata Market,Maize,Hybrid,1125,1283,1155
28/05/2019,Punjab,Kolkata,Ludhiana Market,Rice,Grade A,1691,1797,1692
19-01-2018,Bihar,Coimbatore,Mysuru Yard,Potato,Standard,2444,2780,2665
4/6/2020,Punjab,Kolkata,Mysuru Yard,Cotton,Premium,1694,2185,
5/29/2018,Karnataka,Ludhiana,Kolkata Market,Maize,,2067,2173,
12/14/2022,Karnataka,Pune,Patna Bazaar,Maize,Hybrid,858,1421,
6/18/2021,West Bengal,Mysuru,Mysuru Yard,Soyabean,Hybrid,1763,2460,1900
1/12/2019,Uttar Pradesh,Pune,Lucknow Mandi,Rice,grade a,2888,3580,
1/28/2018,Punjab,Mysuru,Coimbatore Mandi,Cotton,Premium,2157,2307,
6/28/2024,Punjab,Coimbatore,Ludhiana Market,Tomato,,872,1078,
2/3/2022,Uttar Pradesh,Jaipur,Jaipur Mandi,Tomato,FAQ,1545,1957,1948
27/06/2022,Tamil Nadu,Coimbatore,Kolkata Market,Maize,FAQ,884,1668,960
11/30/2022,West Bengal,Ludhiana,Kolkata Market,Tomato,FAQ,2883,3455,
27-02-2023,Uttar Pradesh,Lucknow,Ludhiana Market,Potato,Grade A,887,1181,1082
13-06-2018,Uttar Pradesh,Patna,Lucknow Mandi,Cotton,grade a,1385,1892,
25-04-2019,Maharashtra,Mysuru,Mysuru Yard,Wheat,Local,2918,3292,
3/4/2019,West Bengal,Kolkata,Jaipur Mandi,Tomato,FAQ,2927,3509,2996
19/12/2021,Tamil Nadu,Pune,Jaipur Mandi,Soyabean,Hybrid,2738,3536,
30/03/2022,West Bengal,Mysuru,Patna Bazaar,Rice,FAQ,2145,2674,2645
25-06-2024,Uttar Pradesh,Lucknow,Ludhiana Market,Maize,FAQ,1935,2574,
2/15/2022,West Bengal,Mysuru,Kolkata Market,Potato,Standard,1894,2246,
2/11/2018,West Bengal,Lucknow,Coimbatore Mandi,Onion,FAQ,1759,2552,
24-09-2024,Maharashtra,Jaipur,Mysuru Yard,Wheat,Hybrid,2364,2490,
9/9/2021,Punjab,Coimbatore,Ludhiana Market,Onion,,2291,2948,2707
9/11/2023,Uttar Pradesh,Ludhiana,Patna Bazaar,Potato,Hybrid,1073,1334,1286
25-06-2019,West Bengal,Coimbatore,Kolkata Market,Tomato,FAQ,2587,2917,2856
12/25/2020,West Bengal,Lucknow,Patna Bazaar,Rice,Standard,2547,3080,
1/6/2021,Maharashtra,Ludhiana,Lucknow Mandi,Tomato,,2372,2493,2452
1/23/2021,West Bengal,Pune,Jaipur Mandi,Onion,Premium,2048,2706,2262
15-09-2022,Bihar,Lucknow,Mysuru Yard,Maize,Hybrid,2564,2912,2574
23/01/2018,Maharashtra,Jaipur,Mysuru Yard,Rice,Premium,1959,2361,1972
28-03-2023,Uttar Pradesh,Jaipur,Patna Bazaar,Tomato,Hybrid,914,1294,1274
12/14/2018,Bihar,Ludhiana,Mysuru Yard,Cotton,Hybrid,1378,2041,1814
8/12/2020,Tamil Nadu,Patna,APMC Pune,Cotton,Standard,1528,2018,1628
1/21/2022,Tamil Nadu,Pune,Ludhiana Market,Rice,Local,2069,2544,2126
7/5/2020,Karnataka,Coimbatore,Kolkata Market,Cotton,Premium,1636,1996,1663
30/12/2019,Tamil Nadu,Pune,Jaipur Mandi,Rice,Standard,2319,2594,2517
3/12/2021,West Bengal,Pune,Ludhiana Market,Maize,Standard,1773,2445,2425
5/10/2021,Rajasthan,Kolkata,Patna Bazaar,Soyabean,,2113,2801,2156
2/6/2023,Karnataka,Jaipur,Patna Bazaar,Cotton,Local,2591,2707,
7/22/2022,Uttar Pradesh,Mysuru,Coimbatore Mandi,Tomato,FAQ,2571,2703,
22-09-2024,Rajasthan,Coimbatore,APMC Pune,Tomato,Premium,1135,1417,
29/09/2022,Karnataka,Jaipur,Kolkata Market,Wheat,grade a,2968,3298,3263
3/8/2019,Tamil Nadu,Patna,Ludhiana Market,Wheat,grade a,1029,1499,
8/29/2019,Karnataka,Coimbatore,APMC Pune,Tomato,FAQ,1797,1990,
9/6/2020,Maharashtra,Kolkata,Lucknow Mandi,Tomato,FAQ,2219,2756,2263
22-03-2019,Uttar Pradesh,Jaipur,Kolkata Market,Potato,grade a,1189,1564,
3/2/2020,Uttar Pradesh,Ludhiana,Mysuru Yard,Wheat,Premium,1689,1810,1766
19-10-2024,Tamil Nadu,Pune,Ludhiana Market,Tomato,,1863,2090,1925
4/27/2023,Maharashtra,Lucknow,Ludhiana Market,Onion,Local,1495,1661,1579
9/10/2022,Tamil Nadu,Kolkata,Lucknow Mandi,Onion,,2137,2464,2267
4/15/2021,West Bengal,Lucknow,Jaipur Mandi,Cotton,Grade A,2298,2617,
31/01/2019,West Bengal,Pune,APMC Pune,Maize,Premium,2425,2684,2589
14-10-2018,Karnataka,Coimbatore,Kolkata Market,Onion,Local,1845,2258,
13-07-2018,Maharashtra,Coimbatore,Patna Bazaar,Potato,,2418,2531,
13/05/2019,Rajasthan,Jaipur,Ludhiana Market,Maize,Grade A,2820,3522,3405
7/2/2023,Maharashtra,Patna,Ludhiana Market,Rice,grade a,1615,2235,2060
1/4/2020,West Bengal,Patna,Ludhiana Market,Rice,Local,1032,1719,1589
16/08/2020,Maharashtra,Ludhiana,Coimbatore Mandi,Potato,Hybrid,2969,3118,3019
26-04-2018,Maharashtra,Ludhiana,Mysuru Yard,Onion,Standard,2980,3715,3047
28-04-2024,Bihar,Ludhiana,Mysuru Yard,Potato,Hybrid,1563,1929,1641
18/06/2020,Uttar Pradesh,Ludhiana,Jaipur Mandi,Onion,FAQ,912,1229,1079
20/03/2020,Punjab,Pune,Patna Bazaar,Maize,Standard,1375,1652,1434
10/4/2018,West Bengal,Patna,Coimbatore Mandi,Soyabean,Hybrid,1538,2307,1596
10/4/2019,Karnataka,Patna,Patna Bazaar,Wheat,,2544,3064,2758
24-11-2018,Maharashtra,Ludhiana,Jaipur Mandi,Wheat,Hybrid,1380,1494,1402
11/4/2019,Punjab,Mysuru,APMC Pune,Maize,FAQ,2073,2326,
2/2/2022,West Bengal,Ludhiana,Kolkata Market,Cotton,Premium,2257,2626,
17/11/2020,Rajasthan,Jaipur,Coimbatore Mandi,Wheat,,2473,3251,2528
1/2/2023,Rajasthan,Lucknow,Mysuru Yard,Soyabean,Grade A,2620,3290,3134
4/24/2018,Uttar Pradesh,Jaipur,APMC Pune,Potato,Local,1535,2104,
31-01-2024,Punjab,Coimbatore,Ludhiana Market,Cotton,Hybrid,2777,2970,
30/08/2018,Bihar,Mysuru,Lucknow Mandi,Onion,FAQ,2860,3471,
4/24/2021,Bihar,Kolkata,Ludhiana Market,Onion,FAQ,1244,1467,1256
29-10-2019,Tamil Nadu,Mysuru,APMC Pune,Cotton,Grade A,1673,1827,1746
30-06-2024,Punjab,Lucknow,Jaipur Mandi,Potato,Premium,1681,2408,2047
10/8/2020,Bihar,Coimbatore,APMC Pune,Maize,grade a,1566,2234,2057
23/03/2022,Rajasthan,Jaipur,Kolkata Market,Potato,Local,1405,1750,1487
13/08/2019,Uttar Pradesh,Coimbatore,Jaipur Mandi,Potato,Local,933,1468,1309
7/2/2018,Bihar,Lucknow,Kolkata Market,Cotton,Standard,1835,1964,1872
8/4/2019,Uttar Pradesh,Ludhiana,Ludhiana Market,Maize,FAQ,2043,2318,2144
7/2/2022,Tamil Nadu,Lucknow,Ludhiana Market,Soyabean,grade a,2407,3100,2956
18/02/2022,Punjab,Coimbatore,Kolkata Market,Soyabean,Grade A,1395,1912,1592
29/09/2022,Maharashtra,Ludhiana,Patna Bazaar,Onion,FAQ,1557,2285,2163
8/16/2021,Punjab,Lucknow,Jaipur Mandi,Tomato,Local,2225,2696,2536
28-08-2022,Rajasthan,Jaipur,Mysuru Yard,Onion,Standard,1327,1765,1737
7/24/2022,Punjab,Jaipur,Patna Bazaar,Soyabean,,1157,1837,1774
10/4/2022,West Bengal,Patna,Patna Bazaar,Onion,Premium,2360,3067,
18/06/2020,Rajasthan,Lucknow,Coimbatore Mandi,Cotton,Standard,1158,1403,1349
2/5/2021,Uttar Pradesh,Jaipur,Patna Bazaar,Wheat,Hybrid,1206,1800,
2/1/2024,West Bengal,Ludhiana,Kolkata Market,Maize,Premium,2445,2970,
13-03-2021,Karnataka,Ludhiana,Ludhiana Market,Rice,grade a,853,985,938
7/4/2018,Maharashtra,Kolkata,Patna Bazaar,Rice,,2038,2374,2241
25/03/2023,Karnataka,Kolkata,Lucknow Mandi,Maize,Local,2847,3046,
15/02/2021,Tamil Nadu,Mysuru,Coimbatore Mandi,Tomato,Local,2849,3064,2859
10/27/2024,Punjab,Kolkata,APMC Pune,Tomato,,2170,2414,2406
8/12/2022,Punjab,Kolkata,Patna Bazaar,Potato,Grade A,2413,3143,
8/2/2020,Karnataka,Kolkata,Mysuru Yard,Cotton,Local,1262,1430,1273
30-03-2022,Maharashtra,Pune,Kolkata Market,Potato,Standard,1820,2500,2408
7/6/2023,Punjab,Lucknow,Ludhiana Market,Onion,Standard,2793,3022,
30/10/2019,Bihar,Patna,Coimbatore Mandi,Soyabean,Hybrid,1035,1324,1305
12/4/2020,Tamil Nadu,Coimbatore,Kolkata Market,Wheat,Hybrid,1734,1943,
11/3/2022,Rajasthan,Ludhiana,Coimbatore Mandi,Cotton,Grade A,2843,3231,2868
22-10-2024,Bihar,Mysuru,Jaipur Mandi,Onion,FAQ,1990,2137,1991
4/21/2019,Uttar Pradesh,Coimbatore,Mysuru Yard,Cotton,Standard,1801,2057,1877
2/4/2020,Punjab,Kolkata,APMC Pune,Maize,Standard,1698,1942,
21/05/2018,Punjab,Kolkata,Patna Bazaar,Soyabean,FAQ,2216,2735,2442
4/25/2024,Bihar,Ludhiana,Patna Bazaar,Wheat,,1547,1967,
9/11/2024,Bihar,Jaipur,APMC Pune,Maize,,2214,2581,2359
8/7/2020,Rajasthan,Kolkata,Kolkata Market,Soyabean,Standard,1831,2029,1999
30/05/2024,Karnataka,Patna,Kolkata Market,Soyabean,Local,1478,1844,1730
9/22/2021,Punjab,Lucknow,Lucknow Mandi,Wheat,FAQ,1586,2223,1976
2/7/2021,Bihar,Coimbatore,Lucknow Mandi,Rice,Premium,1348,1765,1611
6/22/2021,Tamil Nadu,Coimbatore,APMC Pune,Tomato,Hybrid,2575,3260,2764
9/11/2024,West Bengal,Jaipur,APMC Pune,Rice,grade a,2082,2205,2110
27/09/2018,Rajasthan,Ludhiana,APMC Pune,Wheat,,1392,1718,1612
17-07-2020,Karnataka,Ludhiana,Kolkata Market,Maize,Standard,1584,1987,1893
19/02/2024,Bihar,Lucknow,Mysuru Yard,Soyabean,FAQ,2140,2497,2385
12/9/2018,Rajasthan,Jaipur,Mysuru Yard,Tomato,grade a,1807,2457,
2/24/2024,Bihar,Pune,Ludhiana Market,Maize,Hybrid,1260,1648,1270
27-07-2024,Rajasthan,Patna,Jaipur Mandi,Rice,,2441,2728,2683
9/27/2024,Rajasthan,Kolkata,Lucknow Mandi,Onion,Premium,1652,2428,
21/04/2023,Bihar,Pune,Coimbatore Mandi,Maize,Premium,893,1243,
8/9/2019,Punjab,Patna,Coimbatore Mandi,Soyabean,FAQ,1814,2023,1855
11/19/2022,Tamil Nadu,Mysuru,Lucknow Mandi,Tomato,Premium,822,938,910
6/12/2019,Bihar,Jaipur,Patna Bazaar,Maize,,2968,3241,3124
2/21/2019,Uttar Pradesh,Lucknow,APMC Pune,Maize,grade a,1734,2153,2019
4/4/2020,Tamil Nadu,Mysuru,Lucknow Mandi,Soyabean,,823,1582,1577
1/1/2020,Karnataka,Mysuru,Lucknow Mandi,Wheat,Grade A,1644,1863,1750
3/17/2022,Rajasthan,Jaipur,Patna Bazaar,Tomato,Standard,2349,2742,
8/2/2022,Maharashtra,Jaipur,Mysuru Yard,Tomato,Standard,1638,2129,1898
1/6/2023,West Bengal,Pune,Patna Bazaar,Rice,grade a,1509,1868,
10/4/2020,West Bengal,Patna,Lucknow Mandi,Wheat,Grade A,1163,1870,1509
16-08-2023,Bihar,Mysuru,Jaipur Mandi,Onion,Grade A,2226,2473,2250
11/11/2021,Punjab,Jaipur,Ludhiana Market,Potato,grade a,2739,3511,2881
2/13/2019,Punjab,Patna,APMC Pune,Maize,Grade A,2472,2626,
30/03/2023,Bihar,Ludhiana,Coimbatore Mandi,Wheat,Grade A,929,1184,1134
24/02/2022,Punjab,Coimbatore,APMC Pune,Onion,Premium,897,1223,941
17-09-2022,Punjab,Patna,Lucknow Mandi,Potato,Local,1396,1538,1537
7/17/2021,Maharashtra,Mysuru,APMC Pune,Soyabean,Grade A,1872,2578,
30/09/2018,Maharashtra,Coimbatore,Jaipur Mandi,Soyabean,Local,2551,3327,2595
26/05/2021,Punjab,Pune,Ludhiana Market,Onion,Premium,1448,2054,
5/10/2022,Rajasthan,Mysuru,APMC Pune,Rice,FAQ,1593,1766,1645
22/01/2023,Punjab,Patna,Ludhiana Market,Onion,FAQ,2646,2822,2790
7/30/2018,Rajasthan,Lucknow,Mysuru Yard,Maize,Hybrid,1429,1598,1486
10/25/2024,Uttar Pradesh,Coimbatore,Patna Bazaar,Cotton,Grade A,1044,1417,
20-06-2024,Uttar Pradesh,Ludhiana,APMC Pune,Rice,Standard,1807,2247,
8/18/2022,Tamil Nadu,Coimbatore,Ludhiana Market,Cotton,FAQ,1382,2064,1777
